id,input,expected,metadata,tags
06ea0c0a-e260-4fc1-ba89-f43328048184,No da. . Vijay going to talk in jaya tv,false,,
0739af0c-fd1d-4de2-a879-96d960b4041f,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,true,,
0db9f85e-b8cc-4354-8629-823c4e80e2b7,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,true,,
0dc7257a-5313-4cc3-b986-edfd581db2f1,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",false,,
0f09f2a8-262f-4a2c-9898-34b17b256af2,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,true,,
109990c7-2c7d-4fb5-8e99-d8371ad6be45,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,true,,
113562ba-3d69-479c-b931-46e285bd1521,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,true,,
1149fffd-31d8-4afc-85e0-d638cb1c3ee5,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,true,,
136fac19-4eb6-4472-b56b-7f1b6e7e91a2,85233 FREE>Ringtone!Reply REAL,true,,
19b0caca-fbd0-4e7f-bcee-ba6dd3fb0038,"Text me when you get off, don't call, my phones having problems",false,,
1ac71bb6-1154-45c1-9b01-9273d8ccc665,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,true,,
1afa2433-d29b-49ba-a3d4-4ee3dfbed724,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,true,,
1d3a7c44-8537-4cbc-bd60-f85a10f4da94,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",true,,
23539ff0-a1ef-4a9c-afac-55d20d617b39,How come i din c ü... Yup i cut my hair...,false,,
24a06acf-a2d0-4feb-932f-117e836cb599,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,true,,
25a80db4-ed41-437a-97cd-ac5ea9ff1f1a,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",true,,
2610730d-1b62-4729-a8cb-2243976059a6,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,true,,
272d58c0-8ba4-4219-815f-86a8c3275213,Yup i've finished c ü there...,false,,
2934d2c2-61da-4e42-a371-1e3d203bf733,If you're not in my car in an hour and a half I'm going apeshit,false,,
2d153070-4d0d-4cdc-ab12-0cd64cdaeafd,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,false,,
2d4aa5d3-617f-4e28-b014-ca23d00501b6,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,true,,
2d9f7650-4614-486a-873f-e169c9d57f5a,Hey leave it. not a big deal:-) take care.,false,,
309e52b5-0010-49b0-a604-5bd98cc9a06c,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",false,,
3161195d-66f3-49c6-87f7-959602e9e35d,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",true,,
